com.samsung.shealth.badge,6320001,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
,2025-07-08 00:00:00.000,,,1,,2025-07-07 23:00:06.548,2025-07-07 23:00:06.548,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-07-08 00:00:00.000,2ca4fb8d-9fb5-4cec-ad3e-b52fff282315,
1,2025-08-05 15:00:00.000,,,1,,2025-08-05 22:08:23.415,2025-08-05 22:08:23.415,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-08-06 14:59:59.999,f6af8638-8143-4777-88b0-ac507a4401fc,
,2025-08-13 00:00:00.000,,,1,,2025-08-12 23:13:39.337,2025-08-12 23:13:39.337,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-08-13 00:00:00.000,c49c0dcd-1693-4fb8-9559-03cad6a5f060,
,2025-08-20 00:00:00.000,,,1,,2025-08-19 23:02:00.848,2025-08-19 23:02:00.848,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-08-20 00:00:00.000,3f9e1863-9632-45fc-a962-f6b7cbf935da,
1,2025-08-21 15:00:00.000,,,1,,2025-08-21 23:11:46.002,2025-08-21 23:11:46.002,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-08-22 14:59:59.999,4ba8e62f-485b-4b7b-bcce-d79f6762375e,
,2025-08-22 00:00:00.000,,,1,,2025-08-21 23:11:48.300,2025-08-21 23:11:48.300,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-08-22 00:00:00.000,70b5f925-6b26-4895-884f-4f2b3beca33a,
,2025-08-24 00:00:00.000,,,1,,2025-08-23 23:43:45.851,2025-08-23 23:43:45.851,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-08-24 00:00:00.000,ddfb1010-9c61-4641-8dbb-d92db240e04c,
1,2025-09-09 15:00:00.000,,,1,,2025-09-09 22:59:37.838,2025-09-09 22:59:37.838,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-09-10 14:59:59.999,0b75b3a7-f2a9-4081-950f-f07f8665751b,
,2025-09-27 00:00:00.000,,,1,,2025-09-26 22:43:59.671,2025-09-26 22:43:59.671,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-09-27 00:00:00.000,cedbcc00-ce33-4154-a11a-504c55bba8c0,
55121,2025-09-28 02:56:19.662,1002,,2,,2025-09-28 02:56:25.679,2025-09-28 02:56:25.679,,running_100K_accumulated,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,ac009454-98e7-4e29-851e-af95183cfed3,tracker.exercise,2025-09-28 02:56:25.662,de118dcf-af56-40f8-9398-8b3031778d85,
